EEG001;FP1
EEG002;FPz
EEG003;FP2
EEG004;AF7
EEG005;AF3
EEG006;AF4
EEG007;AF6
EEG008;F7
EEG009;F5
EEG010;F3
EEG011;F1
EEG012;Fz
EEG013;F2
EEG014;F4
EEG015;F6
EEG016;F8
EEG017;FT9
EEG018;FT7
EEG019;FC5
EEG020;FC1
EEG021;FC2
EEG022;FC6
EEG023;FT8
EEG024;FT10
EEG025;T9
EEG026;T7
EEG027;C5
EEG028;C3
EEG029;C1
EEG030;Cz
EEG031;C2
EEG032;C4
EEG033;C6
EEG034;T8
EEG035;T10
EEG036;TP9
EEG037;TP7
EEG038;CP3
EEG039;CP1
EEG040;CP2
EEG041;CP4
EEG042;TP8
EEG043;TP10
EEG044;P7
EEG045;P5
EEG046;P3
EEG047;P1
EEG048;Pz
EEG049;P2
EEG050;P4
EEG051;P6
EEG052;P8
EEG053;PO7
EEG054;PO3
EEG055;PO4
EEG056;PO8
EEG057;O1
EEG058;Oz
EEG059;O2
EEG060;Iz
EEG061;VEOG
EEG062;Misc
EEG063;ECG
EEG064;M2
